车次,出发时间,到站时间,总时间,始发站,终点站,座位,票价,票数
D2281动车,06:32, 14:10,"
                                7小时38分
                                     
",南京南,霞浦,二等座, 388 ,余1张
D3235动车,15:02, 21:00,"
                                5小时58分
                                     
",南京南,霞浦,二等座, 262 ,有票
G197高铁,12:40, 17:48,"
                                5小时8分
                                     
",南京南,霞浦,二等座, 335.5 ,余0张
G7455,09:28, 10:44,"
                           1小时16分钟
                        ",南京南,杭州东,"
                                        二等座
                                    ",117.5,"
                                有票
                                "
D3107,11:23, 15:19,"
                            3小时56分钟
                        ",杭州东,霞浦,"
                                       二等座
                                    ",214,"
                                有票"
G343,10:32, 12:48,"
                           2小时16分钟
                        ",南京南,宁波,"
                                        二等座
                                    ",188.5,"
                                余2张
                                "
D2283,13:39, 16:34,"
                            2小时55分钟
                        ",宁波,霞浦,"
                                       二等座
                                    ",156,"
                                有票"
G7755,10:37, 12:01,"
                           1小时24分钟
                        ",南京南,杭州东,"
                                        二等座
                                    ",117.5,"
                                有票
                                "
D2283,12:28, 16:34,"
                            4小时6分钟
                        ",杭州东,霞浦,"
                                       二等座
                                    ",214,"
                                余0张"
G61,10:00, 11:26,"
                           1小时26分钟
                        ",南京南,杭州东,"
                                        二等座
                                    ",117.5,"
                                有票
                                "
D3165,12:07, 16:00,"
                            3小时53分钟
                        ",杭州东,霞浦,"
                                       二等座
                                    ",214,"
                                有票"
G1665,09:00, 10:39,"
                           1小时39分钟
                        ",南京南,杭州东,"
                                        二等座
                                    ",117.5,"
                                有票
                                "
D3107,11:23, 15:19,"
                            3小时56分钟
                        ",杭州东,霞浦,"
                                       二等座
                                    ",214,"
                                有票"
