景点,地址,蜂评,游记
"
北京
","
故宫（The Palace Museum）
","
12601
","
1307
"
"
延庆
","
八达岭长城（Badaling Great Wall）
","
8086
","
670
"
"
北京
","
天安门广场
","
10621
","
839
"
"
北京
","
交通 - 北京首都国际机场（Beijing Capital International Airport）
","
2595
","
333
"
"
北京
","
天坛
","
5053
","
644
"
"
北京
","
颐和园（The Summer Palace）
","
7682
","
816
"
"
北京
","
圆明园
","
4942
","
547
"
"
怀柔
","
慕田峪长城（Mutianyu Great Wall）
","
1442
","
173
"
"
北京
","
景山公园（Jingshan Park）
","
3891
","
564
"
"
北京
","
南锣鼓巷（Nanluoguxiang）
","
8003
","
822
"
"
北京
","
恭王府（Prince Gong's Mansion）
","
3218
","
478
"
"
北京
","
北海公园（BeiHai Park）
","
3895
","
397
"
"
北京
","
北京798艺术区（798 Art Zone）
","
4898
","
377
"
"
北京
","
什刹海
","
4435
","
367
"
"
北京
","
鸟巢（Bird's Nest）
","
6002
","
275
"
